Company:,Ride Hailing Data,,,,,,
Date:,,,,,,,
,,,,,,,
Ride ID,OriginArea,BookingTime,Total (hh:mm:ss),Traffic Period,Confirmed,Confirmation Time,Ride Start Time
RD47,Indiranagar,9:38 AM,00:20:00,Peak Time,Yes,4,16
RD48,Indiranagar,8:03 AM,00:28:00,Peak Time,Yes,6,22
RD49,Indiranagar,10:32 AM,00:15:00,Peak Time,Yes,3,12
RD50,Indiranagar,12:19 PM,00:18:00,Non-Peak Time,Yes,4,14
RD51,Indiranagar,3:31 PM,00:15:00,Non-Peak Time,No,8,0
RD52,Indiranagar,1:27 PM,00:09:00,Non-Peak Time,Yes,2,7
RD53,Indiranagar,2:50 PM,00:05:00,Non-Peak Time,No,3,0
RD54,Indiranagar,3:25 PM,00:16:00,Non-Peak Time,Yes,4,12
RD55,Indiranagar,3:49 PM,00:07:00,Non-Peak Time,Yes,2,5
RD56,Indiranagar,11:57 AM,00:05:00,Non-Peak Time,Yes,2,3
RD57,Indiranagar,3:40 PM,00:14:00,Non-Peak Time,Yes,4,10
RD58,Indiranagar,2:21 PM,00:11:00,Non-Peak Time,Yes,4,7
RD59,Indiranagar,2:42 PM,00:05:00,Non-Peak Time,Yes,2,3
RD60,Indiranagar,12:28 PM,,,,4,
RD61,Indiranagar,1:33 PM,00:13:00,Non-Peak Time,Yes,4,9
RD62,Indiranagar,12:59 PM,00:18:00,Non-Peak Time,Yes,6,12
RD63,Indiranagar,11:28 AM,00:11:00,Non-Peak Time,Yes,4,7
RD64,Indiranagar,3:54 PM,00:20:00,Non-Peak Time,Yes,4,16
RD65,Indiranagar,3:06 PM,00:10:00,Non-Peak Time,Yes,3,7
RD66,Indiranagar,12:21 PM,00:16:00,Non-Peak Time,Yes,4,12
RD67,Indiranagar,6:28 PM,00:17:00,Peak Time,No,6,0
RD68,Indiranagar,7:05 PM,00:28:00,Peak Time,Yes,6,22
RD69,Indiranagar,8:27 PM,00:24:00,Non-Peak Time,Yes,8,16
RD70,Indiranagar,8:10 PM,00:19:00,Non-Peak Time,Yes,4,15
RD71,Indiranagar,5:26 PM,00:20:00,Peak Time,Yes,7,13
RD72,Indiranagar,9:43 PM,00:21:00,Non-Peak Time,Yes,4,17
RD73,Indiranagar,4:17 PM,00:48:00,Peak Time,Yes,12,36
RD74,Indiranagar,4:41 PM,00:19:00,Peak Time,No,9,0
RD75,Indiranagar,5:03 PM,00:24:00,Peak Time,No,6,0
RD76,Indiranagar,6:47 PM,00:19:00,Peak Time,No,8,0
RD77,Indiranagar,4:16 PM,00:29:00,Peak Time,Yes,7,22
RD78,Indiranagar,7:14 PM,00:27:00,Peak Time,Yes,7,20
RD79,Indiranagar,4:09 PM,00:25:00,Peak Time,No,9,0
RD80,Indiranagar,4:46 PM,00:27:00,Peak Time,No,8,0
RD81,Indiranagar,9:46 PM,00:24:00,Non-Peak Time,Yes,8,16
RD82,Indiranagar,6:15 PM,00:27:00,Peak Time,Yes,5,22
RD83,Indiranagar,5:54 PM,00:24:00,Peak Time,Yes,8,16
RD84,Indiranagar,6:58 PM,00:24:00,Peak Time,Yes,5,19
RD85,Indiranagar,8:24 PM,00:19:00,Non-Peak Time,Yes,5,14
RD86,Indiranagar,7:24 PM,00:17:00,Peak Time,Yes,6,11
RD87,Indiranagar,8:39 PM,00:22:00,Non-Peak Time,Yes,7,15
RD88,Indiranagar,8:04 PM,00:21:00,Non-Peak Time,Yes,7,14
RD89,Indiranagar,7:01 PM,00:23:00,Peak Time,Yes,5,18
RD90,Indiranagar,4:03 PM,00:23:00,Peak Time,No,13,0
RD91,Indiranagar,8:03 PM,00:18:00,Non-Peak Time,Yes,6,12
RD92,Indiranagar,5:45 PM,00:23:00,Peak Time,No,11,0
RD93,Indiranagar,8:41 PM,00:21:00,Non-Peak Time,Yes,5,16
RD94,Indiranagar,7:17 PM,00:19:00,Peak Time,Yes,5,14
RD95,Indiranagar,9:48 PM,00:23:00,Non-Peak Time,Yes,5,18
RD96,Indiranagar,4:30 PM,00:27:00,Peak Time,No,14,0
RD97,Indiranagar,4:52 PM,00:27:00,Peak Time,Yes,7,20
RD98,Indiranagar,6:13 PM,,,,1,
RD99,Indiranagar,6:06 PM,00:26:00,Peak Time,No,12,0
RD100,Indiranagar,11:44 PM,00:14:00,Non-Peak Time,No,8,0
RD101,Indiranagar,1:16 AM,00:14:00,Non-Peak Time,Yes,3,11
RD102,Indiranagar,3:12 AM,00:07:00,Non-Peak Time,Yes,2,5
RD103,Indiranagar,11:59 PM,00:12:00,Non-Peak Time,Yes,3,9
RD104,Indiranagar,4:50 AM,00:17:00,Non-Peak Time,No,5,0
RD105,Indiranagar,4:57 AM,00:09:00,Non-Peak Time,Yes,3,6
RD106,Indiranagar,11:09 PM,00:05:00,Non-Peak Time,Yes,1,4
RD107,Indiranagar,2:05 AM,00:11:00,Non-Peak Time,Yes,3,8
RD108,Indiranagar,4:13 AM,00:16:00,Non-Peak Time,Yes,4,12
RD109,Indiranagar,2:31 AM,00:12:00,Non-Peak Time,Yes,3,9
RD110,Indiranagar,4:49 AM,00:15:00,Non-Peak Time,Yes,5,10
RD111,Indiranagar,3:41 AM,00:16:00,Non-Peak Time,Yes,3,13
RD112,Indiranagar,4:35 AM,00:07:00,Non-Peak Time,Yes,2,5
RD113,Indiranagar,4:31 AM,00:06:00,Non-Peak Time,Yes,2,4
RD114,Indiranagar,7:25 AM,00:19:00,Non-Peak Time,Yes,5,14
RD115,Indiranagar,7:54 AM,00:30:00,Non-Peak Time,Yes,8,22
RD116,Indiranagar,5:24 AM,00:09:00,Non-Peak Time,Yes,3,6
RD117,Indiranagar,7:59 AM,00:10:00,Non-Peak Time,Yes,3,7
RD118,Indiranagar,7:16 AM,00:07:00,Non-Peak Time,Yes,2,5
RD119,Indiranagar,7:51 AM,00:17:00,Non-Peak Time,Yes,3,14
RD120,Indiranagar,5:08 AM,00:19:00,Non-Peak Time,Yes,4,15
RD121,Indiranagar,7:19 AM,00:15:00,Non-Peak Time,Yes,4,11
RD122,Indiranagar,5:15 AM,00:30:00,Non-Peak Time,Yes,10,20
RD123,Indiranagar,7:15 AM,00:09:00,Non-Peak Time,Yes,2,7
RD124,Indiranagar,6:51 AM,00:06:00,Non-Peak Time,Yes,2,4
RD125,Indiranagar,6:18 AM,00:19:00,Non-Peak Time,Yes,5,14
RD126,Indiranagar,7:43 AM,00:18:00,Non-Peak Time,Yes,4,14
RD127,Indiranagar,5:26 AM,00:12:00,Non-Peak Time,Yes,3,9
RD128,Indiranagar,5:08 AM,00:10:00,Non-Peak Time,Yes,3,7
RD129,Indiranagar,5:43 AM,00:07:00,Non-Peak Time,Yes,2,5
RD130,Indiranagar,6:12 AM,00:12:00,Non-Peak Time,Yes,2,10
RD131,Indiranagar,9:32 AM,00:16:00,Peak Time,No,5,0
RD132,Indiranagar,9:02 AM,00:24:00,Peak Time,No,10,0
RD133,Indiranagar,9:22 AM,00:24:00,Peak Time,Yes,5,19
RD134,Indiranagar,8:57 AM,00:24:00,Peak Time,No,9,0
RD135,Indiranagar,10:37 AM,00:29:00,Peak Time,No,11,0
RD136,Indiranagar,8:15 AM,00:17:00,Peak Time,No,7,0
RD137,Indiranagar,9:27 AM,00:24:00,Peak Time,Yes,6,18
RD138,Indiranagar,8:11 AM,00:25:00,Peak Time,No,6,0
RD139,Indiranagar,9:32 AM,00:29:00,Peak Time,No,9,0
RD140,Indiranagar,9:11 AM,00:23:00,Peak Time,Yes,8,15
RD141,Indiranagar,10:31 AM,00:20:00,Peak Time,Yes,4,16
RD142,Indiranagar,9:46 AM,00:18:00,Peak Time,Yes,4,14
RD143,Indiranagar,9:45 AM,00:20:00,Peak Time,No,6,0
RD144,Indiranagar,8:22 AM,00:23:00,Peak Time,Yes,5,18
RD145,Indiranagar,8:43 AM,00:25:00,Peak Time,Yes,8,17
RD146,Indiranagar,8:18 AM,00:20:00,Peak Time,No,7,0
RD147,Indiranagar,8:15 AM,00:28:00,Peak Time,No,12,0
RD148,Indiranagar,9:34 AM,00:22:00,Peak Time,No,7,0
RD149,Indiranagar,9:43 AM,00:25:00,Peak Time,No,9,0
RD150,Indiranagar,8:30 AM,00:17:00,Peak Time,Yes,3,14
RD151,Indiranagar,9:25 AM,00:27:00,Peak Time,Yes,9,18
RD152,Indiranagar,9:16 AM,00:15:00,Peak Time,No,9,0
RD153,Indiranagar,10:18 AM,00:20:00,Peak Time,No,10,0
RD154,Indiranagar,9:35 AM,00:15:00,Peak Time,No,5,0
RD155,Indiranagar,9:38 AM,00:16:00,Peak Time,No,9,0
RD156,Indiranagar,10:02 AM,00:15:00,Peak Time,No,9,0
RD157,Indiranagar,10:22 AM,00:29:00,Peak Time,No,11,0
RD158,Indiranagar,8:22 AM,00:22:00,Peak Time,No,8,0
RD159,Indiranagar,10:46 AM,00:20:00,Peak Time,Yes,7,13
RD160,Indiranagar,10:15 AM,00:26:00,Peak Time,Yes,7,19
RD161,Indiranagar,9:59 AM,00:24:00,Peak Time,Yes,8,16
RD162,Indiranagar,10:02 AM,00:22:00,Peak Time,No,10,0
RD163,Indiranagar,1:41 PM,00:19:00,Non-Peak Time,No,9,0
RD164,Indiranagar,12:55 PM,00:18:00,Non-Peak Time,Yes,6,12
RD165,Indiranagar,1:09 PM,00:07:00,Non-Peak Time,Yes,2,5
RD166,Indiranagar,2:58 PM,00:17:00,Non-Peak Time,No,8,0
RD167,Indiranagar,3:59 PM,00:13:00,Non-Peak Time,Yes,4,9
RD168,Indiranagar,11:10 AM,00:10:00,Non-Peak Time,Yes,2,8
RD169,Indiranagar,11:30 AM,00:17:00,Non-Peak Time,Yes,3,14
RD170,Indiranagar,12:59 PM,00:17:00,Non-Peak Time,Yes,3,14
RD171,Indiranagar,2:51 PM,00:15:00,Non-Peak Time,Yes,4,11
RD172,Indiranagar,12:15 PM,00:09:00,Non-Peak Time,Yes,2,7
RD173,Indiranagar,12:08 PM,00:11:00,Non-Peak Time,No,4,0
RD174,Indiranagar,1:55 PM,00:18:00,Non-Peak Time,Yes,5,13
RD175,Indiranagar,1:57 PM,00:16:00,Non-Peak Time,Yes,4,12
RD176,Indiranagar,2:32 PM,00:14:00,Non-Peak Time,Yes,4,10
RD177,Indiranagar,11:23 AM,00:18:00,Non-Peak Time,Yes,6,12
RD178,Indiranagar,11:33 AM,00:09:00,Non-Peak Time,Yes,3,6
RD179,Indiranagar,12:39 PM,00:10:00,Non-Peak Time,Yes,3,7
RD180,Indiranagar,8:27 PM,00:24:00,Non-Peak Time,Yes,8,16
RD181,Indiranagar,6:23 PM,00:23:00,Peak Time,No,9,0
RD182,Indiranagar,6:53 PM,00:25:00,Peak Time,Yes,5,20
RD183,Indiranagar,4:50 PM,00:44:00,Peak Time,Yes,15,29
RD184,Indiranagar,5:52 PM,00:54:00,Peak Time,No,14,0
RD185,Indiranagar,7:58 PM,00:21:00,Peak Time,No,12,0
RD186,Indiranagar,9:09 PM,00:29:00,Non-Peak Time,No,9,0
RD187,Indiranagar,4:24 PM,00:21:00,Peak Time,Yes,5,16
RD188,Indiranagar,6:48 PM,00:15:00,Peak Time,Yes,5,10
RD189,Indiranagar,4:23 PM,00:28:00,Peak Time,Yes,6,22
RD190,Indiranagar,6:53 PM,00:28:00,Peak Time,No,11,0
RD191,Indiranagar,9:10 PM,00:21:00,Non-Peak Time,No,9,0
RD192,Indiranagar,7:09 PM,00:15:00,Peak Time,No,7,0
RD193,Indiranagar,7:57 PM,00:15:00,Peak Time,Yes,4,11
RD194,Indiranagar,7:01 PM,00:22:00,Peak Time,No,11,0
RD195,Indiranagar,7:54 PM,00:29:00,Peak Time,Yes,10,19
RD196,Indiranagar,7:37 PM,00:28:00,Peak Time,Yes,6,22
RD197,Indiranagar,5:13 PM,00:29:00,Peak Time,Yes,10,19
RD198,Indiranagar,8:24 PM,00:19:00,Non-Peak Time,Yes,6,13
RD199,Indiranagar,6:31 PM,00:16:00,Peak Time,No,7,0
RD200,Indiranagar,8:57 PM,,,,2,
RD201,Indiranagar,6:27 PM,00:28:00,Peak Time,Yes,9,19
RD202,Indiranagar,9:50 PM,00:26:00,Non-Peak Time,Yes,9,17
RD203,Indiranagar,9:22 PM,00:15:00,Non-Peak Time,Yes,5,10
RD204,Indiranagar,8:11 PM,00:23:00,Non-Peak Time,Yes,5,18
RD205,Indiranagar,9:54 PM,00:24:00,Non-Peak Time,Yes,8,16
RD206,Indiranagar,8:56 PM,00:19:00,Non-Peak Time,Yes,6,13
RD207,Indiranagar,6:25 PM,00:40:00,Peak Time,No,9,0
RD208,Indiranagar,4:49 PM,00:23:00,Peak Time,No,6,0
RD209,Indiranagar,7:47 PM,00:19:00,Peak Time,No,7,0
RD210,Indiranagar,6:17 PM,00:24:00,Peak Time,No,9,0
RD211,Indiranagar,5:06 PM,00:19:00,Peak Time,Yes,6,13
RD212,Indiranagar,5:43 PM,00:18:00,Peak Time,Yes,6,12
RD213,Indiranagar,6:51 PM,00:29:00,Peak Time,Yes,6,23
RD214,Indiranagar,5:37 PM,00:29:00,Peak Time,Yes,6,23
RD215,Indiranagar,6:58 PM,00:27:00,Peak Time,Yes,7,20
RD216,Indiranagar,6:03 PM,00:22:00,Peak Time,Yes,7,15
RD217,Indiranagar,6:36 PM,00:42:00,Peak Time,Yes,14,28
RD218,Indiranagar,11:54 PM,00:06:00,Non-Peak Time,Yes,2,4
RD219,Indiranagar,4:44 AM,00:05:00,Non-Peak Time,No,6,0
RD220,Indiranagar,1:47 AM,00:12:00,Non-Peak Time,Yes,3,9
RD221,Indiranagar,3:04 AM,00:10:00,Non-Peak Time,No,4,0
RD222,Indiranagar,2:51 AM,00:13:00,Non-Peak Time,Yes,3,10
RD223,Indiranagar,4:28 AM,00:11:00,Non-Peak Time,No,5,0
RD224,Indiranagar,10:50 PM,00:11:00,Non-Peak Time,Yes,3,8
RD225,Indiranagar,4:36 AM,00:06:00,Non-Peak Time,Yes,2,4
RD226,Indiranagar,1:39 AM,00:11:00,Non-Peak Time,Yes,3,8
RD227,Indiranagar,10:50 PM,00:06:00,Non-Peak Time,Yes,2,4
RD228,Indiranagar,12:49 AM,00:11:00,Non-Peak Time,Yes,4,7
RD229,Indiranagar,12:13 AM,00:06:00,Non-Peak Time,Yes,1,5
RD230,Indiranagar,12:55 AM,00:07:00,Non-Peak Time,Yes,2,5
RD231,Indiranagar,1:42 AM,00:07:00,Non-Peak Time,Yes,2,5
RD232,Indiranagar,6:12 AM,00:09:00,Non-Peak Time,Yes,2,7
RD233,Indiranagar,6:11 AM,00:18:00,Non-Peak Time,Yes,6,12
RD234,Indiranagar,5:42 AM,00:07:00,Non-Peak Time,Yes,2,5
RD235,Indiranagar,7:08 AM,00:09:00,Non-Peak Time,Yes,3,6
RD236,Indiranagar,6:16 AM,00:05:00,Non-Peak Time,No,6,0
RD237,Indiranagar,7:23 AM,00:09:00,Non-Peak Time,Yes,2,7
RD238,Indiranagar,7:50 AM,00:15:00,Non-Peak Time,Yes,4,11
RD239,Indiranagar,5:11 AM,00:12:00,Non-Peak Time,Yes,2,10
RD240,Indiranagar,6:32 AM,00:28:00,Non-Peak Time,Yes,6,22
RD241,Indiranagar,7:52 AM,00:12:00,Non-Peak Time,No,8,0
RD242,Indiranagar,7:39 AM,00:07:00,Non-Peak Time,Yes,2,5
RD243,Indiranagar,6:32 AM,00:06:00,Non-Peak Time,No,6,0
RD244,Indiranagar,9:52 AM,00:27:00,Peak Time,No,9,0
RD245,Indiranagar,8:16 AM,00:23:00,Peak Time,No,11,0
RD246,Indiranagar,8:07 AM,00:16:00,Peak Time,No,7,0
RD247,Indiranagar,9:39 AM,00:50:00,Peak Time,Yes,10,40
RD248,Indiranagar,10:05 AM,00:24:00,Peak Time,No,9,0
RD249,Indiranagar,10:41 AM,00:27:00,Peak Time,Yes,5,22
RD250,Indiranagar,9:46 AM,00:24:00,Peak Time,Yes,5,19
RD251,Indiranagar,10:35 AM,00:15:00,Peak Time,No,6,0
RD252,Indiranagar,10:33 AM,00:25:00,Peak Time,Yes,6,19
RD253,Indiranagar,10:47 AM,00:18:00,Peak Time,No,8,0
RD254,Indiranagar,10:38 AM,00:48:00,Peak Time,No,12,0
RD255,Indiranagar,10:27 AM,00:19:00,Peak Time,Yes,4,15
RD256,Indiranagar,10:29 AM,00:27:00,Peak Time,Yes,7,20
RD257,Indiranagar,8:58 AM,00:23:00,Peak Time,Yes,5,18
RD258,Indiranagar,9:37 AM,00:34:00,Peak Time,No,12,0
RD259,Indiranagar,9:17 AM,00:16:00,Peak Time,Yes,3,13
RD260,Indiranagar,8:18 AM,00:18:00,Peak Time,Yes,5,13
RD261,Indiranagar,8:29 AM,00:26:00,Peak Time,No,10,0
RD262,Indiranagar,9:51 AM,00:25:00,Peak Time,No,9,0
RD263,Indiranagar,9:20 AM,00:50:00,Peak Time,No,12,0
RD264,Indiranagar,8:03 AM,00:20:00,Peak Time,No,8,0
RD265,Indiranagar,8:00 AM,00:16:00,Peak Time,Yes,4,12
RD266,Indiranagar,9:21 AM,00:21:00,Peak Time,Yes,7,14
RD267,Indiranagar,10:31 AM,00:29:00,Peak Time,Yes,7,22
RD268,Indiranagar,10:51 AM,00:26:00,Peak Time,Yes,9,17
RD269,Indiranagar,10:34 AM,00:18:00,Peak Time,Yes,6,12
RD270,Indiranagar,9:13 AM,00:26:00,Peak Time,Yes,5,21
RD271,Indiranagar,10:36 AM,00:22:00,Peak Time,Yes,4,18
RD272,Indiranagar,10:54 AM,00:28:00,Peak Time,Yes,9,19
RD273,Indiranagar,9:21 AM,00:16:00,Peak Time,No,4,0
RD274,Indiranagar,8:05 AM,00:26:00,Peak Time,Yes,5,21
RD275,Indiranagar,8:00 AM,00:21:00,Peak Time,Yes,4,17
RD276,Indiranagar,8:36 AM,00:23:00,Peak Time,No,11,0
RD277,Indiranagar,9:46 AM,00:44:00,Peak Time,No,10,0
RD278,Indiranagar,8:13 AM,00:16:00,Peak Time,No,8,0
RD279,Indiranagar,2:47 PM,00:16:00,Non-Peak Time,Yes,4,12
RD280,Indiranagar,11:31 AM,00:10:00,Non-Peak Time,Yes,3,7
RD281,Indiranagar,1:24 PM,00:32:00,Non-Peak Time,Yes,11,21
RD282,Indiranagar,12:37 PM,00:06:00,Non-Peak Time,No,6,0
RD283,Indiranagar,3:07 PM,00:14:00,Non-Peak Time,Yes,5,9
RD284,Indiranagar,2:26 PM,00:06:00,Non-Peak Time,No,2,0
RD285,Indiranagar,3:45 PM,00:17:00,Non-Peak Time,Yes,6,11
RD286,Indiranagar,11:15 AM,00:13:00,Non-Peak Time,Yes,3,10
RD287,Indiranagar,3:00 PM,00:18:00,Non-Peak Time,No,10,0
RD288,Indiranagar,1:45 PM,00:10:00,Non-Peak Time,No,4,0
RD289,Indiranagar,1:37 PM,00:14:00,Non-Peak Time,Yes,4,10
RD290,Indiranagar,2:15 PM,00:13:00,Non-Peak Time,Yes,3,10
RD291,Indiranagar,12:41 PM,00:24:00,Non-Peak Time,Yes,6,18
RD292,Indiranagar,11:48 AM,00:10:00,Non-Peak Time,Yes,3,7
RD293,Indiranagar,3:52 PM,00:07:00,Non-Peak Time,Yes,2,5
RD294,Indiranagar,1:05 PM,00:19:00,Non-Peak Time,No,8,0
RD295,Indiranagar,8:27 PM,00:18:00,Non-Peak Time,Yes,4,14
RD296,Indiranagar,7:01 PM,00:16:00,Peak Time,Yes,5,11
RD297,Indiranagar,8:21 PM,00:18:00,Non-Peak Time,Yes,4,14
RD298,Indiranagar,5:39 PM,00:17:00,Peak Time,No,7,0
RD299,Indiranagar,6:47 PM,00:19:00,Peak Time,No,9,0
RD300,Indiranagar,9:27 PM,00:21:00,Non-Peak Time,No,11,0
RD301,Indiranagar,6:28 PM,00:20:00,Peak Time,No,9,0
RD302,Indiranagar,6:40 PM,00:22:00,Peak Time,Yes,7,15
RD303,Indiranagar,7:54 PM,00:23:00,Peak Time,Yes,5,18
RD304,Indiranagar,5:57 PM,00:22:00,Peak Time,Yes,6,16
RD305,Indiranagar,5:24 PM,00:24:00,Peak Time,Yes,8,16
RD306,Indiranagar,6:01 PM,00:28:00,Peak Time,Yes,6,22
RD307,Indiranagar,9:41 PM,00:46:00,Non-Peak Time,Yes,12,34
RD308,Indiranagar,8:25 PM,00:19:00,Non-Peak Time,Yes,5,14
RD309,Indiranagar,6:40 PM,00:29:00,Peak Time,Yes,6,23
RD310,Indiranagar,5:37 PM,00:16:00,Peak Time,No,6,0
RD311,Indiranagar,7:50 PM,00:17:00,Peak Time,Yes,6,11
RD312,Indiranagar,7:02 PM,00:28:00,Peak Time,Yes,6,22
RD313,Indiranagar,8:06 PM,00:28:00,Non-Peak Time,No,9,0
RD314,Indiranagar,6:43 PM,00:29:00,Peak Time,Yes,6,23
RD315,Indiranagar,4:45 PM,00:28:00,Peak Time,No,7,0
RD316,Indiranagar,8:02 PM,00:16:00,Non-Peak Time,Yes,5,11
RD317,Indiranagar,5:24 PM,00:29:00,Peak Time,No,14,0
RD318,Indiranagar,9:40 PM,00:24:00,Non-Peak Time,Yes,5,19
RD319,Indiranagar,9:11 PM,00:15:00,Non-Peak Time,Yes,5,10
RD320,Indiranagar,8:03 PM,00:17:00,Non-Peak Time,Yes,6,11
RD321,Indiranagar,7:27 PM,00:56:00,Peak Time,Yes,14,42
RD322,Indiranagar,9:51 PM,00:23:00,Non-Peak Time,Yes,6,17
RD323,Indiranagar,5:43 PM,00:25:00,Peak Time,Yes,5,20
RD324,Indiranagar,8:00 PM,00:20:00,Peak Time,Yes,4,16
RD325,Indiranagar,9:12 PM,00:30:00,Non-Peak Time,Yes,8,22
RD326,Indiranagar,5:56 PM,00:26:00,Peak Time,Yes,5,21
RD327,Indiranagar,7:17 PM,00:15:00,Peak Time,Yes,3,12
RD328,Indiranagar,4:26 PM,00:17:00,Peak Time,No,10,0
RD329,Indiranagar,7:00 PM,00:19:00,Peak Time,Yes,5,14
RD330,Indiranagar,4:09 PM,00:24:00,Peak Time,Yes,5,19
RD331,Indiranagar,5:28 PM,00:18:00,Peak Time,Yes,5,13
RD332,Indiranagar,8:18 PM,00:25:00,Non-Peak Time,Yes,8,17
RD333,Indiranagar,9:22 PM,00:19:00,Non-Peak Time,Yes,6,13
RD334,Indiranagar,11:22 PM,00:17:00,Non-Peak Time,Yes,6,11
RD335,Indiranagar,11:47 PM,00:08:00,Non-Peak Time,Yes,3,5
RD336,Indiranagar,2:03 AM,00:14:00,Non-Peak Time,Yes,5,9
RD337,Indiranagar,12:53 AM,00:13:00,Non-Peak Time,Yes,3,10
RD338,Indiranagar,3:35 AM,00:19:00,Non-Peak Time,No,8,0
RD339,Indiranagar,11:47 PM,00:08:00,Non-Peak Time,Yes,2,6
RD340,Indiranagar,12:36 AM,00:17:00,Non-Peak Time,Yes,3,14
RD341,Indiranagar,3:44 AM,00:10:00,Non-Peak Time,Yes,3,7
RD342,Indiranagar,11:13 PM,00:13:00,Non-Peak Time,Yes,3,10
RD343,Indiranagar,11:39 PM,00:09:00,Non-Peak Time,Yes,2,7
RD344,Indiranagar,2:41 AM,00:13:00,Non-Peak Time,Yes,4,9
RD345,Indiranagar,2:06 AM,00:19:00,Non-Peak Time,Yes,5,14
RD346,Indiranagar,1:44 AM,00:10:00,Non-Peak Time,Yes,3,7
RD347,Indiranagar,1:49 AM,00:14:00,Non-Peak Time,No,5,0
RD348,Indiranagar,10:59 PM,00:07:00,Non-Peak Time,No,4,0
RD349,Indiranagar,1:07 AM,00:13:00,Non-Peak Time,Yes,3,10
RD350,Indiranagar,10:43 PM,00:14:00,Non-Peak Time,No,7,0
RD351,Indiranagar,11:51 PM,00:09:00,Non-Peak Time,Yes,2,7
RD352,Indiranagar,6:01 AM,00:11:00,Non-Peak Time,Yes,4,7
RD353,Indiranagar,7:24 AM,00:15:00,Non-Peak Time,Yes,4,11
RD354,Indiranagar,7:02 AM,00:16:00,Non-Peak Time,Yes,3,13
RD355,Indiranagar,7:58 AM,00:06:00,Non-Peak Time,No,4,0
RD356,Indiranagar,6:00 AM,00:10:00,Non-Peak Time,Yes,3,7
